given,family
Chris,Oates
Jes,Frellsen
Thomas,Hofmann
Bernhard,Scholkopf
Manuel,Gomez Rodriguez
Stephen,Roberts
Chris,Watkins
Ralf,Herbrich
Joaquin,Quinonero Candela
Matthias,Seeger
Ulrike,von Luxburg
Aapo,Hyvarinen
Philipp,Hennig
Antonio,Artes-Rodriguez
Rob,Fergus
Mark,Girolami
Matthew,Blaschko
Frank,Wood
Chris,Williams
Lorenzo,Rosasco
Volker,Tresp
Fernando,Perez-Cruz
John,Cunningham
Jonas,Peters
Raquel,Urtasun
Joris,Mooij
Sanja,Fidler
Andreas,Krause
Olivier,Bousquet
Yair,Weiss
Joachim,Buhmann
Brooks,Paige
Michael,Black
Soren,Hauberg
Aasa,Feragen
Stefan,Roth
Ivan,Laptev
Russ,Salakhutdinov
Antonio,Torralba
Arthur,Gretton
Ingo,Steinwart
Marc,Lelarge
David,Poole
Simon,Lacoste-Julien
Jan-Willem,van de Meent
Metin,Sitti
Maren,Mahsereci
Pushmeet,Kohli
Chen,Avin
Yann,LeCun
Nicolo,Cesa-Bianchi
Tomer,Koren
Zoubin,Ghahramani
Marc,Tommasi
Yee,Whye The
Bharath,Sriperumbudur
Gergely,Neu
Lars,Backstrom
Kathleen,Fisher
Sean,Taylor
Seyed,Hamed Hassani
Mikaela,Keller
Dino,Sejdinovic
Zoltan,Szabo
Stefan,Harmeling
Kun,Zhang
Aram,Galstyan
Juan,Jose Murillo-Fuentes
Negar,Kiyavash
Michel,Besserve
Javier,Gonzalez
Neil,Lawrence
Vikash,Mansinghka
David,Lopez-Paz
Andrea,Odermatt
Alex,Graves
Michael,Osborne
Tom,Gunter
Yaron,Singer
Ross,Girshick
Hongseok,Yang
James,Lloyd
Adam,Scibior